Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11906"}'
b'{"is_cold": false, "events": -1, "idx": "11907"}'
b'{"is_cold": false, "events": -1, "idx": "11908"}'
b'{"is_cold": false, "events": -1, "idx": "11909"}'
b'{"is_cold": false, "events": -1, "idx": "11910"}'
b'{"is_cold": false, "events": 3, "idx": "11911"}'
b'{"is_cold": false, "events": -1, "idx": "11912"}'
b'{"is_cold": false, "events": -1, "idx": "11913"}'
b'{"is_cold": false, "events": 3, "idx": "11914"}'
b'{"is_cold": false, "events": -1, "idx": "11915"}'
b'{"is_cold": false, "events": -1, "idx": "11916"}'
b'{"is_cold": false, "events": 3, "idx": "11917"}'
b'{"is_cold": false, "events": -1, "idx": "11918"}'
b'{"is_cold": false, "events": -1, "idx": "11919"}'
b'{"is_cold": false, "events": 3, "idx": "11920"}'
b'{"is_cold": false, "events": -1, "idx": "11921"}'
b'{"is_cold": false, "events": -1, "idx": "11922"}'
b'{"is_cold": false, "events": 4, "idx": "11923"}'
b'{"is_cold": false, "events": -1, "idx": "11924"}'
b'{"is_cold": false, "events": -1, "idx": "11925"}'
b'{"is_cold": false, "events": -1, "idx": "11926"}'
b'{"is_cold": false, "events": 2, "idx": "11927"}'
b'{"is_cold": false, "events": -1, "idx": "11928"}'
b'{"is_cold": false, "events": 3, "idx": "11929"}'
b'{"is_cold": false, "events": -1, "idx": "11930"}'
b'{"is_cold": false, "events": -1, "idx": "11931"}'
b'{"is_cold": false, "events": 2, "idx": "11932"}'
b'{"is_cold": false, "events": -1, "idx": "11933"}'
b'{"is_cold": false, "events": 3, "idx": "11934"}'
b'{"is_cold": false, "events": -1, "idx": "11935"}'
b'{"is_cold": false, "events": -1, "idx": "11936"}'
b'{"is_cold": false, "events": 3, "idx": "11937"}'
b'{"is_cold": false, "events": -1, "idx": "11938"}'
b'{"is_cold": false, "events": -1, "idx": "11939"}'
b'{"is_cold": false, "events": 5, "idx": "11940"}'
b'{"is_cold": false, "events": -1, "idx": "11941"}'
b'{"is_cold": false, "events": -1, "idx": "11942"}'
